,"('comedy', 'normal')","('music', 'fast')","('music', 'normal')","('comedy', 'slow')","('music', 'slow')","('comedy', 'fast')","('pets', 'normal')","('pets', 'fast')","('music', 'zombie')","('comedy', 'zombie')","('pets', 'slow')","('pets', 'zombie')"
"('comedy', 'normal')",0.264629388816645,0.09102730819245773,0.1527958387516255,0.0,0.0,0.20091027308192458,0.14369310793237972,0.08257477243172952,0.016254876462938883,0.032509752925877766,0.0,0.015604681404421327
"('music', 'fast')",0.14241960183767227,0.14548238897396631,0.2649310872894334,0.1362940275650842,0.24042879019908117,0.07044410413476264,0.0,0.0,0.0,0.0,0.0,0.0
"('music', 'normal')",0.1287037037037037,0.1425925925925926,0.25092592592592594,0.1398148148148148,0.26851851851851855,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0
"('comedy', 'slow')",0.2644320297951583,0.0782122905027933,0.12476722532588454,0.0,0.0,0.19925512104283055,0.16759776536312848,0.1042830540037244,0.0148975791433892,0.03165735567970205,0.0,0.0148975791433892
"('music', 'slow')",0.13001605136436598,0.1508828250401284,0.2712680577849117,0.13643659711075443,0.2664526484751204,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0
"('comedy', 'fast')",0.27071290944123316,0.1069364161849711,0.1348747591522158,0.0,0.0,0.2003853564547206,0.14065510597302505,0.09441233140655106,0.00674373795761079,0.031791907514450865,0.0,0.01348747591522158
"('pets', 'normal')",0.1546134663341646,0.0,0.0,0.07647547797173733,0.0,0.09975062344139651,0.30423940149625933,0.20448877805486285,0.0,0.0,0.16043225270157938,0.0
"('pets', 'fast')",0.16342412451361868,0.0,0.0,0.0933852140077821,0.0,0.10765239948119326,0.29831387808041504,0.21141374837872892,0.0,0.0,0.125810635538262,0.0
"('music', 'zombie')",0.12195121951219512,0.14634146341463414,0.21951219512195122,0.24390243902439024,0.24390243902439024,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
"('comedy', 'zombie')",0.21568627450980393,0.10784313725490197,0.1568627450980392,0.0,0.0,0.21568627450980393,0.11764705882352941,0.10784313725490197,0.00980392156862745,0.0196078431372549,0.0,0.049019607843137254
"('pets', 'slow')",0.13019390581717452,0.0,0.0,0.09418282548476455,0.0,0.10249307479224377,0.3268698060941828,0.18559556786703602,0.0,0.0,0.16066481994459833,0.0
"('pets', 'zombie')",0.17647058823529413,0.0,0.0,0.0784313725490196,0.0,0.0392156862745098,0.39215686274509803,0.058823529411764705,0.0,0.0,0.2549019607843137,0.0
